,date,region,population,sample_size,reach,sample_size_recent,reach_recent,p_infected,p_infected_low,p_infected_high,p_fatalities,p_fatalities_low,p_fatalities_high,p_hospital,p_hospital_low,p_hospital_high,p_recent,p_recent_low,p_recent_high,p_daily,p_daily_low,p_daily_high,p_active,p_active_low,p_active_high
1,2022/12/08,CLAI,103158,3,165,2,105,0.2,0.138966804297638,0.261033195702362,0,0,0,0.00606060606060606,0,0.0179031252936295,0,0,0,0,0,0,0,0,0
2,2022/12/08,CLAN,607534,4,175,3,110,0.337142857142857,0.26710287633212,0.407182837953594,0.0457142857142857,0.0147690177977287,0.0766595536308427,0.171428571428571,0.115589826724295,0.227267316132848,0.0454545454545455,0.00652864076054068,0.0843804501485502,0.00649350649350649,0,0.0215033700016239,0.0454545454545455,0.00652864076054068,0.0843804501485502
3,2022/12/08,CLAP,226068,2,31,2,31,0.419354838709677,0.245649374972731,0.593060302446624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022/12/08,CLAR,957224,16,382,11,264,0.431937172774869,0.382263658571944,0.481610686977794,0,0,0,0.0163487738419619,0.00337464457190015,0.0293229031120235,0.0113636363636364,0,0.0241492943139747,0.00162337662337662,0,0.00647964828464953,0,0,0
5,2022/12/08,CLAT,286168,6,134,3,69,0.761194029850746,0.689005870471186,0.833382189230306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2022/12/08,CLBI,1556805,40,1053,24,747,0.49667616334283,0.466477041559807,0.526875285125853,0.000982318271119843,0,0.00290668083870264,0.0538071065989848,0.0397161772867483,0.0678980359112213,0.0133868808567604,0.00514548201623133,0.0216282796972894,0.00191241155096577,0,0.00504542887780452,0.00535475234270415,0.000121260026900716,0.0105882446585076
7,2022/12/08,CLCO,757586,14,341,10,243,0.648093841642229,0.597406060266515,0.698781623017942,0,0,0,0.0196078431372549,0.0040731669921855,0.0351425192823243,0.0246913580246914,0.00517995593973183,0.0442027601096509,0.00352733686067019,0,0.0109815381677461,0.00411522633744856,0,0.0121643085566085
8,2022/12/08,CLLI,914555,13,278,8,125,0.464028776978417,0.405405662640431,0.522651891316404,0.00448430493273543,0,0.013253652505689,0.0179372197309417,0.000517432363830162,0.0353570070980532,0.024,0,0.0508301817237139,0.00342857142857143,0,0.0136757404878747,0,0,0
9,2022/12/08,CLLL,828708,12,179,7,95,0.407821229050279,0.335829449780399,0.479813008320159,0.00574712643678161,0,0.0169788723489552,0.00574712643678161,0,0.0169788723489552,0,0,0,0,0,0,0,0,0
10,2022/12/08,CLLR,384837,10,264,4,108,0.454545454545455,0.394481479599554,0.514609429491355,0,0,0,0.00970873786407767,0,0.0286449164107037,0,0,0,0,0,0,0,0,0
11,2022/12/08,CLMA,166533,1,7,0,0,0.142857142857143,0,0.402082007388211,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2022/12/08,CLML,1044950,14,271,9,202,0.450184501845018,0.390951027870949,0.509417975819088,0,0,0,0.00738007380073801,0,0.0175703344474353,0.00495049504950495,0,0.0146292404427115,0.000707213578500707,0,0.00437322722920229,0,0,0
13,2022/12/08,CLNB,480609,7,164,5,99,0.634146341463415,0.560428159894816,0.707864523032014,0,0,0,0.0268456375838926,0.000892929298988134,0.0527983458687971,0.0303030303030303,0,0.0640699576190009,0.00432900432900433,0,0.0172615026839652,0,0,0
14,2022/12/08,CLRM,7112808,100,2593,100,2593,0.518318549942152,0.499086518098461,0.537550581785843,0.00571428571428571,0.00272957926298655,0.00869899216558488,0.0215320910973085,0.015743059486513,0.027321122708104,0.0120248254460822,0.00781737469785554,0.0162322761943089,0.00171783220658318,0.000119291641200968,0.00331637277196538,0.0131122252217509,0.00873379011536478,0.017490660328137
15,2022/12/08,CLTA,330558,2,25,1,15,0.52,0.324160461433831,0.715839538566169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2022/12/08,CLVS,1815902,76,1889,54,1238,0.494970884065643,0.472424331471856,0.51751743665943,0.00846944948578342,0.0040517893084936,0.0128871096630732,0.0232828870779977,0.0161520695113947,0.0304137046446007,0.00969305331179321,0.00423543722596236,0.0151506693976241,0.00138472190168474,0,0.00345614184110346,0.00565428109854604,0.00147746676599959,0.00983109543109249
